DATE,LATITUDE,LONGITUDE,ELEVATION,WND_SPEED_MPS,WND_TYPE_CODE_N,WND_TYPE_CODE_V,CIG_AGL,VIS_DISTANCE_MTS,TMP_C,DEW_TMP_C,SLP_HECTOPASCALS,GD1_HEIGHT_MTS,GD1__1,GD1__2,GD1__3,GD1__4,GD1__5,MA1_ALTIMETER_HECTOPASCAL
2023-10-29 00:56:00,40.701214,-74.009028,2.13,0,0,0,1829,16093,228,156,10176,1829.0,0,0,0,1,0,10176.0
2023-10-29 01:56:00,40.701214,-74.009028,2.13,21,0,1,22000,16093,211,133,10183,1981.0,1,0,0,0,0,10186.0
2023-10-29 02:56:00,40.701214,-74.009028,2.13,0,0,0,22000,16093,200,106,10188,1829.0,1,0,0,0,0,10190.0
2023-10-29 03:56:00,40.701214,-74.009028,2.13,26,1,0,22000,16093,189,100,10190,2438.0,1,0,0,0,0,10193.0
2023-10-29 04:56:00,40.701214,-74.009028,2.13,21,0,1,2438,16093,178,94,10191,2438.0,0,0,1,0,0,10193.0
2023-10-29 05:56:00,40.701214,-74.009028,2.13,0,0,0,22000,16093,172,89,10197,2591.0,0,1,0,0,0,10200.0
2023-10-29 06:56:00,40.701214,-74.009028,2.13,15,0,1,1097,16093,167,89,10195,1097.0,0,0,0,1,0,10196.0
2023-10-29 07:56:00,40.701214,-74.009028,2.13,51,1,0,1524,16093,161,83,10195,1524.0,0,0,0,1,0,10196.0
2023-10-29 08:56:00,40.701214,-74.009028,2.13,51,1,0,1524,16093,144,78,10198,1097.0,1,0,0,0,0,10200.0
2023-10-29 09:56:00,40.701214,-74.009028,2.13,46,1,0,1433,16093,144,78,10204,1433.0,0,0,1,0,0,10207.0
2023-10-29 10:56:00,40.701214,-74.009028,2.13,31,1,0,1036,16093,144,83,10203,1036.0,0,0,1,0,0,10203.0
2023-10-29 11:56:00,40.701214,-74.009028,2.13,46,1,0,1158,16093,144,78,10198,1158.0,0,0,0,1,0,10200.0
2023-10-29 12:56:00,40.701214,-74.009028,2.13,41,1,0,1219,16093,139,89,10202,1219.0,0,0,1,0,0,10203.0
2023-10-29 13:56:00,40.701214,-74.009028,2.13,51,1,0,1981,16093,133,100,10201,1128.0,1,0,0,0,0,10203.0
2023-10-29 14:56:00,40.701214,-74.009028,2.13,51,1,0,1219,16093,139,106,10207,518.0,1,0,0,0,0,10207.0
2023-10-29 15:27:00,40.701214,-74.009028,2.13,67,1,0,518,16093,140,110,99999,518.0,0,0,1,0,0,10203.0
2023-10-29 15:56:00,40.701214,-74.009028,2.13,67,1,0,457,16093,139,111,10205,457.0,0,0,0,1,0,10207.0
2023-10-29 16:20:00,40.701214,-74.009028,2.13,51,1,0,396,16093,130,110,99999,396.0,0,0,0,1,0,10207.0
2023-10-29 16:56:00,40.701214,-74.009028,2.13,67,1,0,335,16093,128,111,10193,335.0,0,0,0,1,0,10193.0
2023-10-29 17:56:00,40.701214,-74.009028,2.13,88,1,0,335,16093,122,106,10187,335.0,0,0,0,1,0,10186.0
2023-10-29 18:16:00,40.701214,-74.009028,2.13,72,1,0,244,14484,120,110,99999,274.0,0,0,1,0,0,10183.0
2023-10-29 18:56:00,40.701214,-74.009028,2.13,67,1,0,213,16093,122,106,10180,274.0,0,0,0,1,0,10179.0
2023-10-29 19:56:00,40.701214,-74.009028,2.13,57,1,0,213,9656,122,106,10172,274.0,0,0,1,0,0,10173.0
2023-10-29 20:56:00,40.701214,-74.009028,2.13,57,1,0,274,16093,122,106,10172,274.0,0,0,0,1,0,10173.0
2023-10-29 21:56:00,40.701214,-74.009028,2.13,51,1,0,274,16093,128,106,10175,274.0,0,0,0,1,0,10176.0
2023-10-29 22:56:00,40.701214,-74.009028,2.13,57,1,0,274,16093,128,111,10175,274.0,0,0,1,0,0,10176.0
2023-10-29 23:56:00,40.701214,-74.009028,2.13,31,1,0,213,16093,122,106,10177,213.0,0,0,0,1,0,10179.0
2023-10-30 00:56:00,40.701214,-74.009028,2.13,46,1,0,213,16093,122,106,10173,213.0,0,0,0,1,0,10173.0
2023-10-30 01:56:00,40.701214,-74.009028,2.13,51,1,0,213,9656,122,106,10170,213.0,0,0,0,1,0,10169.0
2023-10-30 02:56:00,40.701214,-74.009028,2.13,41,1,0,213,6437,122,106,10164,213.0,0,0,0,1,0,10166.0
